rank|pos_rank|player|trend|avg_pick|hi_lo|pct_drafted
1|1|Jahmyr Gibbs RB • DET *||1.22|1/2|100.0
2|2|Bijan Robinson RB • ATL *||2.06|1/4|100.0
3|3|Jonathan Taylor RB • IND *||3.73|2/7|100.0
4|1|Ja'Marr Chase WR • CIN *||6.65|3/16|100.0
5|4|Derrick Henry RB • BAL *||6.73|3/14|100.0
6|5|James Cook RB • BUF *|+2|7.63|4/14|100.0
7|6|Christian McCaffrey RB • SF *|-1|7.72|3/15|100.0
8|2|Puka Nacua WR • LAR *|-1|8.05|4/16|100.0
9|3|Jaxon Smith-Njigba WR • SEA *||9.57|5/17|100.0
10|7|De'Von Achane RB • MIA *||11.30|5/22|100.0
11|8|Saquon Barkley RB • PHI *|+1|11.87|6/18|100.0
12|9|Chase Brown RB • CIN *|+2|13.22|7/21|100.0
13|4|Amon-Ra St. Brown WR • DET *|+2|13.33|7/21|100.0
14|1|Josh Allen QB • BUF *|-1|13.34|2/26|97.8
15|10|Ashton Jeanty RB • LV *|-4|17.66|7/40|100.0
16|11|Kenneth Walker III RB • KC *|+1|17.80|11/30|100.0
17|12|Kyren Williams RB • LAR *|-1|18.88|12/30|100.0
18|5|CeeDee Lamb WR • DAL *|+1|20.64|11/36|100.0
19|13|Omarion Hampton RB • LAC *|+1|21.28|12/37|100.0
20|6|Drake London WR • ATL *|-2|22.63|14/34|100.0
21|7|Justin Jefferson WR • MIN *|+1|22.89|12/43|100.0
22|14|Josh Jacobs RB • GB *|-1|23.37|14/39|100.0
23|8|George Pickens WR • DAL *||24.58|15/36|100.0
24|9|A.J. Brown WR • NE *||25.34|16/38|100.0
25|10|Rashee Rice WR • KC *||27.65|17/40|100.0
26|15|D'Andre Swift RB • CHI *|+3|28.63|17/47|100.0
27|11|Nico Collins WR • HOU *|+3|28.81|19/44|100.0
28|16|Javonte Williams RB • DAL *|-1|29.50|18/47|100.0
29|17|Cam Skattebo RB • NYG *|-3|29.93|16/51|100.0
30|18|Jeremiyah Love RB • ARI *|-2|33.35|19/55|100.0
31|2|Lamar Jackson QB • BAL *||33.70|10/58|97.8
32|1|Brock Bowers TE • LV *|+1|34.13|20/56|99.8
33|12|Chris Olave WR • NO *|+1|34.49|25/49|100.0
34|19|Travis Etienne RB • NO *|+4|36.77|22/57|100.0
35|13|Malik Nabers WR • NYG *|+2|37.05|25/54|100.0
36|2|Trey McBride TE • ARI *||37.80|23/59|100.0
37|20|Bucky Irving RB • TB *|-2|37.80|22/65|100.0
38|14|Tee Higgins WR • CIN *|+1|40.15|28/53|100.0
39|21|Breece Hall RB • NYJ *|-7|40.50|21/68|100.0
40|15|Zay Flowers WR • BAL *||41.21|29/58|100.0
41|16|DeVonta Smith WR • PHI *|+7|46.52|31/69|100.0
42|3|Joe Burrow QB • CIN *||46.85|16/73|97.5
43|17|Emeka Egbuka WR • TB *||46.95|32/67|100.0
44|22|David Montgomery RB • HOU *|+3|47.22|31/68|100.0
45|4|Drake Maye QB • NE *|-4|47.63|13/72|97.8
46|23|Bhayshul Tuten RB • JAC *|-1|48.70|30/72|100.0
47|3|Colston Loveland TE • CHI *|+2|49.57|33/72|99.8
48|18|Tetairoa McMillan WR • CAR *|+3|49.63|36/67|100.0
49|24|Quinshon Judkins RB • CLE *|-5|50.02|32/75|100.0
50|5|Dak Prescott QB • DAL *|-4|51.69|15/94|97.8
51|19|Ladd McConkey WR • LAC *|-1|51.70|38/74|100.0
52|25|Jadarian Price RB • SEA *||52.56|34/76|100.0
53|20|Jameson Williams WR • DET *||55.80|38/75|100.0
54|21|Terry McLaurin WR • WAS *|+1|58.83|41/81|100.0
55|22|Davante Adams WR • LAR *|+3|59.43|36/84|100.0
56|6|Jayden Daniels QB • WAS *|-2|60.38|26/99|97.8
57|23|Jaylen Waddle WR • DEN *|+3|61.02|40/98|99.8
58|7|Jalen Hurts QB • PHI *|-2|62.34|22/99|97.8
59|24|Garrett Wilson WR • NYJ *|+3|63.12|44/93|100.0
60|25|DJ Moore WR • BUF *|+6|65.10|38/97|99.8
61|26|TreVeyon Henderson RB • NE *|-2|65.82|43/91|100.0
62|8|Trevor Lawrence QB • JAC *|+5|68.10|27/110|97.8
63|27|J.K. Dobbins RB • DEN *|+16|69.06|45/98|99.5
64|4|Tyler Warren TE • IND *|+1|69.31|47/115|98.3
65|26|Rome Odunze WR • CHI *|-8|69.51|47/99|100.0
66|9|Caleb Williams QB • CHI *|-5|70.24|30/105|97.8
67|27|Christian Watson WR • GB *|+4|72.20|49/101|100.0
68|28|Alec Pierce WR • IND *|-4|72.47|49/106|99.0
69|5|Dallas Goedert TE • PHI *|-6|72.58|46/113|97.5
70|6|Tucker Kraft TE • GB *||72.88|47/104|98.0
71|29|Mike Evans WR • SF *|-3|73.45|48/99|99.3
72|28|Tony Pollard RB • TEN *||75.33|53/101|99.8
73|30|Luther Burden III WR • CHI *||75.48|54/110|99.0
74|29|Rico Dowdle RB • PIT *|+2|77.04|51/104|99.3
75|30|Rhamondre Stevenson RB • NE *|+10|78.20|52/106|99.0
76|1|Broncos DST • DEN *|-2|79.17|36/132|96.1
