rank|player pos team  (CBS Expert's Consensus, non-PPR, updated Aug 28 2026; skill positions only — no K/DST)
1|Jahmyr Gibbs RB DET
2|Bijan Robinson RB ATL
3|Ja'Marr Chase WR CIN
4|Jonathan Taylor RB IND
5|Puka Nacua WR LAR
6|Jaxon Smith-Njigba WR SEA
7|Amon-Ra St. Brown WR DET
8|James Cook RB BUF
9|Christian McCaffrey RB SF
10|Chase Brown RB CIN
11|De'Von Achane RB MIA
12|Derrick Henry RB BAL
13|Kenneth Walker III RB KC
14|CeeDee Lamb WR DAL
15|Saquon Barkley RB PHI
16|Omarion Hampton RB LAC
17|Justin Jefferson WR MIN
18|Nico Collins WR HOU
19|Drake London WR ATL
20|George Pickens WR DAL
21|Ashton Jeanty RB LV
22|Brock Bowers TE LV
23|A.J. Brown WR NE
24|Chris Olave WR NO
25|Rashee Rice WR KC
26|Kyren Williams RB LAR
27|Tee Higgins WR CIN
28|Javonte Williams RB DAL
29|Trey McBride TE ARI
30|Josh Allen QB BUF
31|DeVonta Smith WR PHI
32|Travis Etienne RB NO
33|Malik Nabers WR NYG
34|Colston Loveland TE CHI
35|Breece Hall RB NYJ
36|D'Andre Swift RB CHI
37|Zay Flowers WR BAL
38|Jeremiyah Love RB ARI
39|Quinshon Judkins RB CLE
40|Lamar Jackson QB BAL
41|Tetairoa McMillan WR CAR
42|Bucky Irving RB TB
43|Emeka Egbuka WR TB
44|Ladd McConkey WR LAC
45|Cam Skattebo RB NYG
46|Jaylen Waddle WR DEN
47|Garrett Wilson WR NYJ
48|Josh Jacobs RB GB
49|Drake Maye QB NE
50|David Montgomery RB HOU
51|DJ Moore WR BUF
52|Bhayshul Tuten RB JAC
53|Luther Burden III WR CHI
54|Jadarian Price RB SEA
55|Terry McLaurin WR WAS
56|Joe Burrow QB CIN
57|Jayden Daniels QB WAS
58|Davante Adams WR LAR
59|Tyler Warren TE IND
60|Rhamondre Stevenson RB NE
61|Jalen Hurts QB PHI
62|Sam LaPorta TE DET
63|Jameson Williams WR DET
64|Tucker Kraft TE GB
65|Rome Odunze WR CHI
66|Parker Washington WR JAC
67|Tony Pollard RB TEN
68|Christian Watson WR GB
69|Jonathon Brooks RB CAR
70|Rico Dowdle RB PIT
71|Mike Evans WR SF
72|Brian Thomas Jr. WR JAC
73|Marvin Harrison Jr. WR ARI
74|Jaylen Warren RB PIT
75|TreVeyon Henderson RB NE
76|Kyle Pitts TE ATL
77|Jacory Croskey-Merritt RB WAS
78|Dak Prescott QB DAL
79|J.K. Dobbins RB DEN
80|Chris Godwin WR TB
