overall|team_idx|player pos team
teams: 0=Captain Fantasy 1=The Million Dollar Men 2=OUTLAWS 3=Wild Boys 4=Pool Boys 5=Philipsburg-Osceola Notorious/Legends 6=McGee 7=The Steagles 8=Safety Committee 9=Loosy's Lickbags
1|0|Austin Ekeler RB WAS
2|1|Christian McCaffrey RB SF
3|2|Justin Jefferson WR MIN
4|3|Travis Kelce TE KC
5|4|Ja'Marr Chase WR CIN
6|5|Bijan Robinson RB ATL
7|6|Tyreek Hill WR MIA
8|7|Jalen Hurts QB PHI
9|8|Patrick Mahomes QB KC
10|9|Josh Allen QB BUF
11|9|Saquon Barkley RB PHI
12|8|Nick Chubb RB HOU
13|7|Stefon Diggs WR WAS
14|6|Tony Pollard RB TEN
15|5|A.J. Brown WR NE
16|4|CeeDee Lamb WR DAL
17|3|Amon-Ra St. Brown WR DET
18|2|Josh Jacobs RB GB
19|1|Davante Adams WR LAR
20|0|Joe Burrow QB CIN
21|0|Cooper Kupp WR SEA
22|1|Justin Herbert QB LAC
23|2|Derrick Henry RB BAL
24|3|Garrett Wilson WR NYJ
25|4|Chris Olave WR NO
26|5|Najee Harris RB NYG
27|6|DeVonta Smith WR PHI
28|7|Joe Mixon RB HOU
29|8|Jahmyr Gibbs RB DET
30|9|Justin Fields QB KC
31|9|T.J. Hockenson TE MIN
32|8|Jaylen Waddle WR DEN
33|7|Lamar Jackson QB BAL
34|6|Trevor Lawrence QB JAC
35|5|Calvin Ridley WR TEN
36|4|Tua Tagovailoa QB ATL
37|3|Travis Etienne RB NO
38|2|Deshaun Watson QB CLE
39|1|Rhamondre Stevenson RB NE
40|0|DK Metcalf WR PIT
41|0|Amari Cooper WR LV
42|1|Tee Higgins WR CIN
43|2|Kenneth Walker III RB KC
44|3|Mark Andrews TE BAL
45|4|Alexander Mattison RB MIA
46|5|Christian Watson WR GB
47|6|Keenan Allen WR IND
48|7|Aaron Jones RB MIN
49|8|Daniel Jones QB IND
50|9|Dameon Pierce RB PHI
51|9|Deebo Samuel WR SF
52|8|Darren Waller TE CAR
53|7|DJ Moore WR BUF
54|6|J.K. Dobbins RB DEN
